Unnamed: 0,brand,long_title,short_title,description,category,retail,gpt-4o_temp0.8_round0,sonar_temp0.2_round0,sonar_temp0.8_round0,sonar-pro_temp0.8_round0,sonar_temp0.2_round1,gpt-4o_temp0.8_round1,gpt-4o_temp0.2_round1,sonar-pro_temp0.2_round1,meta-llama/Llama-3.1-70B-Instruct_temp0_round0,meta-llama/Llama-3.1-70B-Instruct_temp0_round1,gpt-4o_temp0.2_round0,sonar-pro_temp0.2_round0,mistralai/Mistral-7B-Instruct-v0.3_temp0_round0,mistralai/Mistral-7B-Instruct-v0.3_temp0_round1,sonar_temp0.8_round1,sonar-pro_temp0.8_round1
1092,purina pro plan,Purina Tidy Cats 24/7 Performance Clumping Scoop Cat & Kitty Litter for Multiple Cats,Tidy Cats 24/7,Clumping clay litter for continuous odor control,Cat Litter,Target,,,,5.0,,,,,,,,5.0,,,,
1093,upup,Fragrance Free Scoopable Clumping Cat Litter - 20lbs - up&up™,up&up Fragrance Free,Target's store brand unscented clumping clay litter,Cat Litter,Target,,,,6.0,,,,,,,,6.0,,,,
1094,arm  hammer,Arm & Hammer Double Duty Advanced Odor Control Clumping Cat Litter,Arm & Hammer Double Duty,Clumping clay litter with extra baking soda for odor control,Cat Litter,Target,,,,8.0,,,,,,,,3.0,,,,
1095,fresh step,Fresh Step - Simply Unscented Litter - Clumping Cat Litter - 25lbs,Fresh Step Unscented,Unscented clumping clay litter for sensitive cats,Cat Litter,Target,,,,9.0,,,,,,,,,,,,
1096,purina pro plan,Purina Tidy Cats Lightweight 24/7 Performance Low Dust Clumping Scoop Scented Cat & Kitty Litter for Multiple Cats,Tidy Cats Lightweight,Lightweight clumping clay litter for easy lifting and pouring,Cat Litter,Target,,,,10.0,,,,,,,,,,,,
1097,boxiecat,Boxiecat Probiotic 40 Day Odor Control Clumping Clay Cat Litter,Boxiecat Probiotic,A probiotic-infused clumping clay litter for long-lasting odor control,Cat Litter,Target,,,,,,,,,,,,9.0,,,,
1113,purina pro plan,Tidy Cats Clumping Cat Litter,Tidy Cats Clumping,High-quality clumping litter for effective odor control and easy scooping.,Cat Litter,Target,1.0,,,,,,,,5.0,5.0,,5.0,,,,
1114,fresh step,Fresh Step Cat Litter,Fresh Step,Known for odor-controlling properties and easy cleaning.,Cat Litter,Target,,,,,,,,,,,,,,,,
1115,petkit,PetKit Cat Litter,PetKit,"Varies by product type, often emphasizes convenience and affordability.",Cat Litter,Target,,,,,,,,,,,,,,,,
1116,fresh step,Fresh Step Extreme Odor Control Cat Litter,Fresh Step Extreme Odor Control,A litter designed to provide extreme odor control for cat owners.,Cat Litter,Target,,4.0,,,,,,,,,,,,,,
1117,purina pro plan,Purina Tidy Cats Lightweight Cat Litter,Purina Tidy Cats Lightweight,A lightweight version of Tidy Cats litter for easier handling.,Cat Litter,Target,,9.0,,,,,,,,,,,,,,
1118,fresh step,"Fresh Step Advanced Clumping Cat Litter, Scented, 18 lbs",Fresh Step Advanced Clumping,Fresh Step Advanced Clumping Cat Litter provides exceptional odor control and clumping power to keep your home smelling fresh.,Cat Litter,Walmart,1.0,,,,,,,,,,,,,,,
1119,purina pro plan,"Tidy Cats Clumping Cat Litter, Glade Clear Springs, 20 lbs",Tidy Cats Clumping with Glade,Tidy Cats Clumping Cat Litter with Glade provides effective odor control and clumping action for easy cleanup.,Cat Litter,Walmart,2.0,,,,,,,,,,,,,,,
1120,arm  hammer,"Arm & Hammer Clump & Seal Cat Litter, Fresh Scent, 19 lbs",Arm & Hammer Clump & Seal,Arm & Hammer Clump & Seal provides a 7-day odor-free home with its powerful clumping and sealing properties.,Cat Litter,Walmart,3.0,,,,,,,,,,,,,,,
1121,dr elseys,"Dr. Elsey's Ultra Cat Litter, 40 lbs",Dr. Elsey's Ultra,"Dr. Elsey's Ultra Cat Litter offers superior odor control and hard clumping, ideal for multiple cat households.",Cat Litter,Walmart,4.0,,,,,,,,,,,,,,,
1122,arm  hammer,"Arm & Hammer Super Scoop Cat Litter, Unscented, 20 lbs",Arm & Hammer Super Scoop,Arm & Hammer Super Scoop is an unscented litter with excellent clumping action and odor control.,Cat Litter,Walmart,6.0,,,,,,,,,,,,,,,
1123,purina pro plan,"Purina Tidy Cats Non-Clumping Cat Litter, 24/7 Performance, 20 lbs",Purina Tidy Cats Non-Clumping,Purina Tidy Cats Non-Clumping Litter provides continuous odor control for a fresh-smelling home.,Cat Litter,Walmart,8.0,,,,,,,,,,,,,,,
1124,ever clean,"Ever Clean Extra Strength Cat Litter, Unscented, 25 lbs",Ever Clean Extra Strength,Ever Clean Extra Strength offers superior clumping action and odor control for maximum freshness.,Cat Litter,Walmart,9.0,,,,,7.0,,,10.0,10.0,,,,,,
1125,fresh step,Fresh Step Multi-Cat Clumping Cat Litter,Multi-Cat Litter,Designed for multi-cat households with odor control and clumping action.,Cat Litter,Walmart,,,,,,,3.0,,,,3.0,,,,,
1126,cats pride,Cat's Pride Unscented Complete Care Cat Litter,Unscented Complete Care,Unscented cat litter that provides complete odor control.,Cat Litter,Walmart,,,,,,,,,,,8.0,,,,,
1127,arm  hammer,Arm & Hammer Clump & Seal Platinum Multi-Cat Litter,Arm & Hammer Clump & Seal,A clumping litter offering superior odor control and easy scooping.,Cat Litter,Walmart,,3.0,1.0,2.0,,,,,,,,1.0,,,,
1128,scoop away,Scoop Away Multi-Cat Litter,Scoop Away Multi-Cat,A value option with strong clumping and odor control for multiple cats.,Cat Litter,Walmart,,4.0,2.0,,,,,,,,,,,,,
1129,special kitty,Special Kitty Odor Control Cat Litter,Special Kitty Odor Control,An affordable option with good odor control and strong clumping.,Cat Litter,Walmart,,1.0,3.0,,,,,,,,,,,,,
1130,prettylitter,Pretty Litter Color-Changing Cat Litter,Pretty Litter Color-Changing,A unique litter that changes color to indicate urinary health issues.,Cat Litter,Walmart,,8.0,7.0,,,,,,,,,,,,,
1131,okocat,Ökocat Paper Pellet Cat Litter,Ökocat Paper Pellet,"A biodegradable, absorbent litter made from recycled paper.",Cat Litter,Walmart,,,10.0,,,,,,,,,,,,,
1132,swheat scoop hypothetical,Swheat Scoop Natural Cat Litter,Swheat Scoop Natural,"Biodegradable, non-toxic litter made from whole kernel corn, ideal for eco-friendly households.",Cat Litter,Walmart,,10.0,,,,,,,3.0,3.0,,,,,,
1133,purina pro plan,Tidy Cats Free & Clean Unscented Clumping Multi-Cat Litter,Tidy Cats Free & Clean,Clumping clay litter with activated charcoal for superior odor control,Cat Litter,Walmart,,,,1.0,,,,,,,,,,,,
1134,special kitty,"Special Kitty Scooping Cat Litter, Unscented",Special Kitty Scooping,Walmart's store brand clumping clay litter at an affordable price,Cat Litter,Walmart,,,,7.0,,,,,,,,6.0,,,,
1135,purina pro plan,Purina Yesterday's News Unscented Paper Cat Litter,Yesterday's News Unscented,Non-clumping paper pellet litter made from recycled materials,Cat Litter,Walmart,,,,9.0,,,,,,,,,,,,
1136,frisco,Frisco All Natural Unscented Clumping Grass Cat Litter,Frisco All Natural Grass,Biodegradable grass seed litter that's lightweight and low-dust,Cat Litter,Walmart,,,,10.0,,,,,,,,8.0,,,,
1137,kitty diggins,Kitty Diggins Fragrance-Free Cat Litter,Kitty Diggins Fragrance-Free,"An affordable option with fragrance-free attributes, though it may lack in performance compared to premium brands.",Cat Litter,Walmart,,8.0,7.0,,,,,,,,,,,,,
1138,purina pro plan,Tidy Cats 24/7 Performance Cat Litter,Tidy Cats 24/7 Performance,"Offers consistent odor control and clumping ability, though may produce some dust.",Cat Litter,Walmart,,3.0,8.0,,,,,,6.0,6.0,,,,,,
1139,next gen pet,Next Gen Pet Fresh Cat Litter,Next Gen Pet Fresh,"A premium, eco-friendly choice offering strong odor control and minimal dust.",Cat Litter,Walmart,,,10.0,,,,,,,,,,,,,
1140,purina pro plan,Purina Tidy Cats 24/7 Performance Clumping Cat Litter,Tidy Cats 24/7 Performance,Clay-based clumping litter designed for continuous odor control,Cat Litter,Walmart,,,,6.0,,,,,8.0,8.0,,3.0,5.0,5.0,,
1141,special kitty,Special Kitty Multi-Cat Clumping Cat Litter,Special Kitty Multi-Cat,Walmart's own brand of affordable clay-based clumping litter for multiple cats,Cat Litter,Walmart,,,,8.0,,,,,,,,10.0,,,,
1142,sophresh,So Phresh Scoopable Odor-Lock Clumping Micro Crystal Cat Litter,So Phresh Odor-Lock,Micro crystal clumping litter with advanced odor control technology,Cat Litter,Walmart,,,,10.0,,,,,,,,,,,,
1143,fresh step,Fresh Step Advanced Simply Unscented Clumping Cat Litter,Fresh Step Unscented,A clumping cat litter that eliminates odors without added fragrances.,Cat Litter,Walmart,1.0,,,,,,,,7.0,7.0,,,,,,
1144,purina pro plan,Tidy Cats Clumping Cat Litter for Multiple Cats,Tidy Cats Clumping,A powerful clumping formula designed for multi-cat households.,Cat Litter,Walmart,2.0,,,,,,,,,,,,,,,
1145,cats pride,Cats Pride Fresh and Light Ultimate Care Scented Multi-Cat Litter,Cats Pride Fresh and Light,"A lightweight, scented cat litter designed for multi-cat homes.",Cat Litter,Walmart,7.0,,,,,,,,,,,,,,,
1151,natures miracle,Nature's Miracle Advanced Odor-Control Unscented Clumping Cat Litter,Advanced Odor Control Litter,A clumping litter with advanced odor control features for a cleaner environment.,Cat Litter,Walmart,,,10.0,,,,,,,,,,,,,
1152,special kitty,"Special Kitty Scoopable Tight Clumping Cat Litter, Fragrance Free",Special Kitty Fragrance-Free Clumping Litter,"A cost-effective, fragrance-free clumping litter suitable for multi-cat households.",Cat Litter,Walmart,,1.0,,,,,,,,,,,,,,
1153,special kitty,"Special Kitty Lightweight & Scoopable Clumping Cat Litter, Fresh Scent",Special Kitty Lightweight Clumping Litter,"A lightweight, clumping litter with a fresh scent, ideal for easy handling.",Cat Litter,Walmart,,2.0,,,,,,,,,,,,,,
1154,special kitty,"Special Kitty Natural Clay Cat Litter, Unscented",Special Kitty Natural Clay Litter,"A non-clumping, natural clay litter without added fragrances.",Cat Litter,Walmart,,6.0,,,,,,,,,,,,,,
1155,arm  hammer,Arm & Hammer Cloud Control Platinum Multi-Cat Litter,Arm & Hammer Cloud Control Platinum,"A dust-free, clumping litter designed for minimal tracking and odor control.",Cat Litter,Walmart,,7.0,,,,,,,,,,,,,,
1156,special kitty,Special Kitty Scooping Cat Litter,Scooping Cat Litter,Walmart's store brand clumping litter for affordable odor control,Cat Litter,Walmart,,,,,,,,,,,,7.0,,,,
1157,purina pro plan,Purina Tidy Cats Clumping Cat Litter,Tidy Cats Clumping Litter,Purina Tidy Cats clumping cat litter offers great odor control and clumping action.,Cat Litter,Metro,1.0,,,,,1.0,1.0,,2.0,2.0,,,,,,
1158,cats pride,Cats Pride Fresh & Light Clumping Cat Litter,Fresh & Light Litter,Cats Pride Fresh & Light offers a lightweight and effective clumping solution for odor control.,Cat Litter,Metro,6.0,,,,,10.0,,,,,,,,,,
1159,feline pine,Feline Pine Original Non-Clumping Cat Litter,Original Feline Pine,"Feline Pine Original offers a natural, non-clumping solution with pine-based odor control.",Cat Litter,Metro,8.0,,,,,,,,,,,,,,,
1160,natures miracle,Nature's Miracle Intense Defense Odor Control Litter,Intense Defense Litter,Nature's Miracle Intense Defense provides strong odor control with its clumping formula.,Cat Litter,Metro,9.0,,,,,,,,5.0,5.0,,,,,,
1161,paco  pepper,Paco & Pepper Olive Pit Cat Litter,Paco & Pepper Olive,"A dust-free, eco-friendly litter made from olive pits.",Cat Litter,Metro,,9.0,9.0,,,,,,,,,,,,,
1162,worlds best,World's Best Cat Litter Unscented Green,World's Best Unscented,"An unscented, natural litter known for its eco-friendly qualities.",Cat Litter,Metro,,,10.0,,,,,,,,,,,,,
1163,pet metro,Pet Metro Bentonite Cat Litter - Lemon - 10L,Pet Metro Bentonite Litter,Clumping cat litter made from natural bentonite clay with lemon scent for odor control,Cat Litter,Metro,,,,4.0,,,,,,,,,,,,
1164,pet metro,Pet Metro Bentonite Cat Litter - Apple - 10L,Pet Metro Apple Litter,Apple-scented bentonite clay litter for effective odor absorption,Cat Litter,Metro,,,,2.0,,,,,,,,,,,,
1165,pet metro,Pet Metro Bentonite Cat Litter - Coffee - 10L,Pet Metro Coffee Litter,Coffee-scented clumping bentonite litter for multi-cat households,Cat Litter,Metro,,,,3.0,,,,,,,,,,,,
1166,selection,Selection Scented Clumping Cat Litter - 7 kg,Selection Clumping Litter,Perfumed natural clay litter for powerful and instant odor control,Cat Litter,Metro,,,,5.0,,,,,,,,,,,,
1167,scoop away,Scoop Away Multi-Cat Clumping Litter,Scoop Away Multi-Cat,Scented clay litter in convenient individual bags for multiple cats,Cat Litter,Metro,,,,10.0,,2.0,,,,,,6.0,,,,
1168,arm  hammer,Arm & Hammer Odor Sealing Multi-Cat Clump & Seal Litter,Clump & Seal Litter,Multi-cat clumping litter with odor sealing technology,Cat Litter,Metro,,,,1.0,,,,,,,,1.0,,,,
1169,purina pro plan,Purina Tidy Cats Clumping Cat Litter 4-in-1 Strength,Tidy Cats 4-in-1 Strength,Clumping litter with 4-in-1 odor fighting strength,Cat Litter,Metro,,,,3.0,,,,,,,,2.0,,,,
1170,arm  hammer,ARM & HAMMER Slide Easy Clean-Up Multi-Cat Clumping Cat Litter,Slide Easy Clean-Up Litter,Multi-cat clumping litter for easy clean-up,Cat Litter,Metro,,,,4.0,,,,,,,,4.0,,,,
1171,purina pro plan,Purina Tidy Cats LightWeight Clumping Cat Litter Odor Control 24/7 Performance,Tidy Cats LightWeight 24/7 Performance,Lightweight clumping litter with 24/7 odor control,Cat Litter,Metro,,,,5.0,,,,,,,,5.0,,,,
1172,arm  hammer,ARM & HAMMER Clean Burst Multi-Cat Clumping Cat Litter,Clean Burst Clumping Litter,Multi-cat clumping litter with clean burst scent,Cat Litter,Metro,,,,6.0,,,,,,,,6.0,,,,
1173,purina pro plan,Purina® Tidy Cat® Non Clumping Clay Litter,Tidy Cat Non-Clumping Litter,Non-clumping clay litter for odor absorption,Cat Litter,Metro,,,,,,,,,,,,7.0,,,,
1174,arm  hammer,ARM & HAMMER Double Duty Clumping Cat Litter,Double Duty Clumping Litter,Clumping litter with double duty odor control,Cat Litter,Metro,,,,7.0,,,,,,,,7.0,,,,
1175,purina pro plan,Purina Tidy Cats LightWeight Clumping Cat Litter Glade Clear Springs,Tidy Cats LightWeight Glade,Lightweight clumping litter with Glade Clear Springs scent,Cat Litter,Metro,,,,8.0,,,,,,,,8.0,,,,
1176,arm  hammer,ARM & HAMMER Clump & Seal Ultra Odor Blasters Multi-Cat Clumping Cat Litter,Clump & Seal Ultra Odor Blasters,Multi-cat clumping litter with ultra odor control,Cat Litter,Metro,,,,,,,,,,,,10.0,,,,
1177,worlds best,World's Best Cat Litter Multiple Cat Formula,World's Best,A natural cat litter made from whole-kernel corn that offers outstanding odor control.,Cat Litter,Metro,5.0,,,,,,4.0,,,,,,,,,
1178,naturally fresh hypothetical,Naturally Fresh Walnut-Based Cat Litter,Naturally Fresh,An eco-friendly cat litter made from walnut shells that provides excellent odor absorption.,Cat Litter,Metro,6.0,,,,,,,,,,,,,,,
1179,purina pro plan,Tidy Cats Free & Clean Unscented Cat Litter,Free & Clean,An unscented litter that provides powerful odor control without fragrances.,Cat Litter,Metro,3.0,,,,,4.0,4.0,,3.0,3.0,4.0,,,,,
1180,kraft,Vitakraft Magic Clean Cat Litter,Vitakraft Magic Clean,A non-clumping litter that is known for being easy to clean and affordable.,Cat Litter,Metro,,,6.0,,,,,,,,,,,,,
1181,soybased,Tofu-Based Biodegradable Cat Litter,Tofu-Based Litter,"A natural, biodegradable option made from tofu, suitable for eco-friendly needs.",Cat Litter,Metro,,,7.0,,,,,,,,,,,,,
1182,pine pellets,Pine Pellets Natural Cat Litter,Pine Pellets Litter,"A natural, biodegradable option made from pine, offering good odor control.",Cat Litter,Metro,,,8.0,,,,,,,,,,,,,
1183,us,Sawdust Natural Cat Litter,Sawdust Litter,"A natural, inexpensive option that can be biodegradable but may not control odors well.",Cat Litter,Metro,,,9.0,,,,,,,,,,,,,
1184,corngrain,Corn/Grain-Based Biodegradable Cat Litter,Corn/Grain Litter,"A biodegradable option made from natural grains, offering moderate odor control.",Cat Litter,Metro,,,10.0,,,,,,,,,,,,,
1185,fresh step,Fresh Step Multi-Cat Clumping Cat Litter with Febreze,Fresh Step Multi-Cat with Febreze,Clumping litter with Febreze freshness for multi-cat households,Cat Litter,Metro,4.0,,,9.0,,1.0,,,,,,,,,,
1186,scoop away,Scoop Away Multi-Cat Complete Performance Scented Clumping Cat Litter,Scoop Away Multi-Cat Complete Performance,Scented clumping litter for complete odor control in multi-cat homes,Cat Litter,Metro,,,,10.0,,,,,,,,,,,,
1187,worlds best,World's Best Cat Litter Original Unscented Clumping,Original Unscented,Eco-friendly clumping litter made from whole-kernel corn for natural odor control,Cat Litter,Metro,,,,,,,,,,,,4.0,,,,
1200,ever clean,Ever Clean Cat Litter,Ever Clean Litter,A clumping litter with activated charcoal for effective odor control.,Cat Litter,Metro,,,6.0,,,,,,,,,,,,,
1201,dr elseys,Dr. Elsey's Ultra Cat Litter,Dr. Elsey's Ultra,"A clumping litter made from bentonite clay, known for its affordability and effectiveness.",Cat Litter,Metro,,,7.0,,,,,,,,,,,,,
1202,scoop away,Scoop Away Multi-Cat Formula Clumping Cat Litter,Scoop Away Multi-Cat,Strong clumping clay litter for multiple cats with good odor control,Cat Litter,Metro,,,,3.0,,,,,,,,,,,,
1203,ever clean,Everclean Extra Strength Unscented Premium Clumping Clay Cat Litter,Everclean Extra Strength,Premium clay litter with activated charcoal for maximum odor control,Cat Litter,Metro,,,,8.0,,,,,,,,,,,,
1204,pet metro,Pet Metro Bentonite Cat Litter,Pet Metro Bentonite,Bentonite clay litter available in various scents for odor control,Cat Litter,Metro,,,,9.0,,,,,,,,7.0,,,,
1205,fresh step,Fresh Step Ultra Unscented Cat Litter,Fresh Step Ultra,Unscented clumping clay litter with advanced odor control technology,Cat Litter,Metro,,,,,,,,,,,,3.0,,,,
1206,selection,Selection Unscented Clumping Cat Litter,Selection Unscented,Unscented clumping litter that controls odor and is 99.9% dust-free,Cat Litter,Metro,,,,,,,,,,,,8.0,,,,
1207,luvsome,Luvsome Clumping Cat Litter,Luvsome Clumping,Affordable clumping litter option for odor control,Cat Litter,Metro,,,,,,,,,,,,9.0,,,,
1208,purina pro plan,Purina Tidy Cats LightWeight Clumping Cat Litter,Tidy Cats LightWeight,Lightweight clumping litter that is easier to lift and pour,Cat Litter,Metro,,,,,,,,,,,,10.0,6.0,6.0,,
1209,king arthur,King Arthur Bread Flour,Bread Flour,A high-protein flour ideal for baking breads with strong structure.,Baking Ingredients,Costco,,,,,,4.0,9.0,,,,,,,,,
1210,carnation,Carnation Evaporated Milk,Evaporated Milk,A creamy and rich evaporated milk for various baking recipes.,Baking Ingredients,Costco,,,,,,7.0,,,3.0,3.0,,,,,,
1211,nestle,Nestle Toll House Morsels,Toll House Morsels,Classic chocolate morsels for baking delicious cookies and treats.,Baking Ingredients,Costco,,,,,,10.0,,,,,,,,,,
1212,kirkland signature,Kirkland Signature Pure Baking Soda,Baking Soda,Versatile leavening agent and cleaning product for baking needs.,Baking Ingredients,Costco,,,,,,,,,,,,,,,,7.0
1213,kirkland signature,Kirkland Signature Organic Maple Syrup,Maple Syrup,Pure organic maple syrup for natural sweetness in baking.,Baking Ingredients,Costco,,,,,,,,,,,,,,,,8.0
1214,namaste,Namaste Gluten Free Classic Mixes Variety Pack,Gluten Free Baking Mixes,Assorted gluten-free baking mixes for various treats,Baking Ingredients,Costco,,,,,,,,9.0,,,,,,,,
1215,ch,C&H Pure Cane Sugar,C&H Cane Sugar,Refined pure cane sugar that is perfect for baking and sweetening.,Baking Ingredients,Costco,,,,,,3.0,10.0,,,,,,,,,
1216,diamond crystal,Diamond Crystal Kosher Salt,Diamond Crystal Salt,Kosher salt that enhances the flavor of baked goods.,Baking Ingredients,Costco,,,,,,10.0,,,,,,,,,,
1217,kirkland signature,Kirkland Signature Grass-Fed Unsalted Butter,Kirkland Grass-Fed Butter,Richer-tasting butter due to the grass-fed diet of cows.,Baking Ingredients,Costco,,,,,,,,,,,,,,,2.0,
1218,ch,C&H Pure Cane Light Brown Sugar,Light Brown Sugar,Moist brown sugar for adding depth to baked goods,Baking Ingredients,Costco,,,,,,,,,,,,,,,,8.0
1219,kirkland signature,Kirkland Signature Semi-Sweet Chocolate Chips,Semi-Sweet Chocolate Chips,High-quality chocolate chips for cookies and other treats,Baking Ingredients,Costco,,,,,,,,10.0,,,,,,,,
1220,domino,Domino Light Brown Sugar,Domino Brown Sugar,Light brown sugar for cookies and baked goods.,Baking Ingredients,Costco,,,,,,8.0,,,,,,,,,,
1221,nestle,Nestle Toll House Chocolate Chip Morsels,Nestle Choco Morsels,Classic chocolate chip morsels for cookies and treats.,Baking Ingredients,Costco,,,,,,10.0,,,,,,,,,,
1222,us,U.S. Light Brown Sugar,Light Brown Sugar,Moist brown sugar that adds richness to baked goods.,Baking Ingredients,Costco,,,,,,,,,,,,,,,,3.0
1223,kirkland signature,Kirkland Signature Dry Roasted Macadamia Nuts,Macadamia Nuts,Whole macadamia nuts for adding crunch to baked goods.,Baking Ingredients,Costco,,,,,,,,,,,,,,,,10.0
1224,santo tomas,Santo Tomas Spanish Saffron,Santo Tomas Saffron,Premium Spanish saffron for adding unique flavor and color to your baking.,Baking Ingredients,Amazon,,,,,,10.0,,,,,,,,,,
1225,valrhona,Valrhona Dutch Process Cocoa Powder,Valrhona Cocoa Powder,High-quality cocoa powder for intense chocolate flavor.,Baking Ingredients,Amazon,,,,,,,,,,,,,,,9.0,
1226,bobs red mill,Bob's Red Mill Gluten-Free 1:1 Baking Flour,Bob's Red Mill Gluten-Free Flour,Versatile gluten-free flour for various baked goods.,Baking Ingredients,Amazon,,,,,2.0,,,,,,,,,,,
1227,enjoy life foods,Enjoy Life Semi-Sweet Chocolate Chips,Enjoy Life Chocolate Chips,"Dairy-free, high-quality chocolate chips for baking.",Baking Ingredients,Amazon,,,,,3.0,,,,,,,,,,,
1228,valrhona,Valrhona Dark Cocoa Powder,Valrhona Cocoa Powder,Premium dark cocoa powder for intense chocolate flavors.,Baking Ingredients,Amazon,,,,,10.0,,,,,,,,,,,
1229,domino,Domino Premium Cane Sugar,Domino Sugar,Pure cane sugar that enhances the sweetness of your baked goods.,Baking Ingredients,Amazon,,,,,,6.0,,,,,,,,,,
1230,pure vanilla,Nielsen-Massey Madagascar Bourbon Pure Vanilla Extract,Nielsen-Massey Vanilla Extract,Premium vanilla extract that adds rich flavor to any recipe.,Baking Ingredients,Amazon,,,,,,9.0,,,,,,,,,,
1231,enjoy life foods,"Enjoy Life Dark Chocolate Morsels, 69% Cacao",Enjoy Life Dark Chocolate Chips,"Dairy-free, high-quality dark chocolate chips perfect for baking.",Baking Ingredients,Amazon,,,,,,,,,,,,,,,3.0,
1232,anthonys,Anthony's Premium Coconut Flour,Anthony's Coconut Flour,"A trusted brand for coconut flour, minimizing coconut flavor.",Baking Ingredients,Amazon,,,,,,,,,,,,,,,10.0,
1233,duralife,Duralife Monk Fruit Arral Blend Sweetener,Duralife Monk Fruit Sweetener,Economical sweetener blend used in keto baking for its low glycemic index.,Baking Ingredients,Amazon,,,,,10.0,,,,,,,,,,,
1234,anthonys,Anthony's Premium Vital Wheat Gluten,Anthony's Gluten,High-quality vital wheat gluten for bread making.,Baking Ingredients,Amazon,,,,,,6.0,,,,,,,,,,
1235,swerve,Swerve Granular Sugar Replacement,Swerve Sugar,Zero-calorie sugar replacement for healthier baking.,Baking Ingredients,Amazon,,,,,,9.0,,,,,,,,,,
1236,king arthur,King Arthur Baking Company Unbleached All-Purpose Flour,King Arthur Flour,High-quality unbleached flour for consistent baking results.,Baking Ingredients,Target,,,,,,2.0,,,,,,,,,,
1237,betty crocker,Betty Crocker Baking Mix,Baking Mix,Convenient and delicious baking mix for easy homemade treats.,Baking Ingredients,Target,,,,,,3.0,3.0,,,,,,,,,
1238,pillsbury,Pillsbury All Purpose Flour 5 lb,Pillsbury Flour,A versatile flour ideal for baking a variety of goods.,Baking Ingredients,Walmart,,,,,,1.0,,,3.0,3.0,,,,,,
1239,king arthur,King Arthur Baking Sugar,King Arthur Sugar,High-quality baking sugar for all your sweet recipes.,Baking Ingredients,Walmart,,,,,,,2.0,,,,,,,,,
1240,nestle,Nestle Toll House Chocolate Chips,Nestle Chocolate Chips,Classic chocolate chips for cookies and more.,Baking Ingredients,Walmart,,,,,,,6.0,,,,,,,,,
1241,ch,Fleischmann's Instant Yeast,Instant Yeast,An instant yeast ideal for quick and easy baking.,Baking Ingredients,Metro,,,,,,8.0,,,,,,,,,,
1242,bobs red mill,Bob's Red Mill Rolled Oats,Bob's Oats,Whole grain rolled oats perfect for baking and breakfast.,Baking Ingredients,Metro,,,,,,2.0,,,,,,,,,,
1243,bakers,Baker's Joy Baking Spray,Baker's Joy Spray,Non-stick baking spray with flour for easy cake release.,Baking Ingredients,Metro,,,,,,7.0,,,,,,,,,,
1244,gold medal,Gold Medal Organic All-Purpose Flour,Gold Medal Flour,Organic all-purpose flour for everyday baking.,Baking Ingredients,Metro,,,,,,9.0,,,,,,,,,,
1245,ch,C&H Powdered Sugar,C&H Powdered Sugar,Confectioners' sugar perfect for frostings and dusting.,Baking Ingredients,Metro,,,,,,,10.0,,,,,,,,,
1246,gold medal,Gold Medal Self Rising Flour,Gold Medal Flour,Self-rising flour perfect for fluffy cakes and biscuits.,Baking Ingredients,Metro,,,,,,4.0,,,,,,,,,,
1247,hodgson mill,Hodgson Mill Rye Flour,Hodgson Mill Rye,High-quality rye flour for distinctive flavor and texture.,Baking Ingredients,Metro,,,,,,5.0,,,,,,,,,,
1248,starbucks,Starbucks VIA Instant Coffee Dark Roast,Starbucks VIA,A dark roast instant coffee that offers the bold taste of Starbucks in an instant form.,Instant Coffee,Amazon,,,,,,2.0,,,3.0,3.0,,,,,,
1249,ch,Chock Full o'Nuts Original Blend Instant Coffee,Chock Full o'Nuts Original,"An iconic New York coffee blend with a rich, bold taste.",Instant Coffee,Target,,,,,,10.0,10.0,,,,,,,,,
1250,lavazza,Lavazza Prontissimo! Classico,Lavazza Prontissimo,A full-bodied Italian instant coffee with rich notes of chocolate and nuts.,Instant Coffee,Metro,,,,,,9.0,,,,,,,,,,
1251,ch,Taster's Choice Instant Coffee,Taster's Choice,Smooth and well-balanced coffee made from responsibly sourced beans.,Instant Coffee,Metro,,,,,,7.0,,,5.0,5.0,,,6.0,6.0,,
1252,kirkland signature,Kirkland Signature Super Premium Dog Food,Kirkland Dog Food,A premium dog food offering balanced nutrition for all life stages.,Dog Food,Costco,,,,,,1.0,,,,,,,,,,
1253,blue buffalo,Blue Buffalo Life Protection Formula,Blue Buffalo Dog Food,Natural dog food enhanced with vitamins and minerals.,Dog Food,Costco,,,,,,4.0,,,,,,,,,,
1254,natures domain,Nature's Domain Grain-Free Dog Food,Nature's Domain Dog Food,A grain-free formula providing complete and balanced nutrition.,Dog Food,Costco,,,,,,3.0,,,,,,,,,,
1255,purina pro plan,Purina Pro Plan Savor Adult Shredded Blend,Purina Pro Plan Dog Food,A high-protein formula with real meat as the first ingredient.,Dog Food,Costco,,,,,,3.0,,,,,,,,,,
1256,wellness,Wellness Core RawRev High-Protein Dry Dog Food,Wellness Core Dog Food,"A high-protein, grain-free dog food with raw meat pieces.",Dog Food,Costco,,,,,,6.0,,,,,,,,,,
1257,ch,Rachael Ray Nutrish Natural Chicken & Veggies Recipe,Rachael Ray Nutrish Chicken & Veggies,A natural dog food with real chicken and veggies for adult dogs.,Dog Food,Costco,,,,,,,10.0,,,,,,,,,
