,brand,long_title,short_title,description,category,retail,gpt-4o_temp0.8_round0,sonar_temp0.2_round0,sonar_temp0.8_round0,sonar-pro_temp0.8_round0,sonar_temp0.2_round1,gpt-4o_temp0.8_round1,gpt-4o_temp0.2_round1,sonar-pro_temp0.2_round1,meta-llama/Llama-3.1-70B-Instruct_temp0_round0,meta-llama/Llama-3.1-70B-Instruct_temp0_round1,gpt-4o_temp0.2_round0,sonar-pro_temp0.2_round0,mistralai/Mistral-7B-Instruct-v0.3_temp0_round0,mistralai/Mistral-7B-Instruct-v0.3_temp0_round1,sonar_temp0.8_round1,sonar-pro_temp0.8_round1
1089,up & up,Up & Up Lightweight Scented Clumping Cat Litter,up & up Lightweight Scented,"Inexpensive, lightweight scented clumping litter for odor control and ease of use.",Cat Litter,Target,,10.0,10.0,,,,,,,,,,,,,
1090,Up & Up,Up & Up Fragrance-Free Clumping Cat Litter with Baking Soda,Up & Up Fragrance-Free,"Affordable, fragrance-free clumping litter with baking soda for odor control.",Cat Litter,Target,,8.0,,,,,,,,,,,,,,
1091,Fresh Step,Fresh Step Multi-Cat Scented Litter with the Power of Febreze Clumping Cat Litter,Fresh Step Multi-Cat,Scented clumping clay litter with Febreze for odor control,Cat Litter,Target,,,,3.0,,,,,,,,4.0,,,,
1092,Tidy Cats,Purina Tidy Cats 24/7 Performance Clumping Scoop Cat & Kitty Litter for Multiple Cats,Tidy Cats 24/7,Clumping clay litter for continuous odor control,Cat Litter,Target,,,,5.0,,,,,,,,5.0,,,,
1093,up&up,Fragrance Free Scoopable Clumping Cat Litter - 20lbs - up&up™,up&up Fragrance Free,Target's store brand unscented clumping clay litter,Cat Litter,Target,,,,6.0,,,,,,,,6.0,,,,
1094,Arm & Hammer,Arm & Hammer Double Duty Advanced Odor Control Clumping Cat Litter,Arm & Hammer Double Duty,Clumping clay litter with extra baking soda for odor control,Cat Litter,Target,,,,8.0,,,,,,,,3.0,,,,
1095,Fresh Step,Fresh Step - Simply Unscented Litter - Clumping Cat Litter - 25lbs,Fresh Step Unscented,Unscented clumping clay litter for sensitive cats,Cat Litter,Target,,,,9.0,,,,,,,,,,,,
1096,Tidy Cats,Purina Tidy Cats Lightweight 24/7 Performance Low Dust Clumping Scoop Scented Cat & Kitty Litter for Multiple Cats,Tidy Cats Lightweight,Lightweight clumping clay litter for easy lifting and pouring,Cat Litter,Target,,,,10.0,,,,,,,,,,,,
1097,Boxiecat,Boxiecat Probiotic 40 Day Odor Control Clumping Clay Cat Litter,Boxiecat Probiotic,A probiotic-infused clumping clay litter for long-lasting odor control,Cat Litter,Target,,,,,,,,,,,,9.0,,,,
1098,Brand A,Brand A Super Absorbent Cat Litter,Brand A Cat Litter,A highly absorbent cat litter for multiple cats.,Cat Litter,Target,1.0,,,,,,,,,,,,,,,
1099,Brand B,Brand B Clumping Cat Litter,Brand B Clumping,Clumping cat litter with odor control.,Cat Litter,Target,2.0,,,,,,,,,,,,,,,
1100,Brand C,Brand C Natural Cat Litter,Brand C Natural,Eco-friendly and natural cat litter.,Cat Litter,Target,3.0,,,,,,,,,,,,,,,
1101,Brand D,Brand D Lightweight Cat Litter,Brand D Lightweight,Lightweight cat litter that's easy to carry.,Cat Litter,Target,4.0,,,,,,4.0,,,,,,,,,
1102,Brand E,Brand E Multi-Cat Litter,Brand E Multi-Cat,Ideal for homes with multiple cats.,Cat Litter,Target,5.0,,,,,,,,,,,,,,,
1103,Brand F,Brand F Odor Control Cat Litter,Brand F Odor Control,Advanced odor control formula.,Cat Litter,Target,6.0,,,,,,6.0,,,,,,,,,
1104,Brand H,Brand H Dust-Free Cat Litter,Brand H Dust-Free,99% dust-free cat litter.,Cat Litter,Target,8.0,,,,,,,,,,,,,,,
1105,Brand I,Brand I Long-Lasting Cat Litter,Brand I Long-Lasting,Long-lasting cat litter for extended use.,Cat Litter,Target,9.0,,,,,,,,,,,,,,,
1106,Brand J,Brand J Crystal Cat Litter,Brand J Crystal,Crystal-based cat litter for superior absorption.,Cat Litter,Target,10.0,,,,,,,,,,,,,,,
1107,Brand A,Brand A Clumping Cat Litter 20lb,Brand A Cat Litter,A highly absorbent clumping cat litter that controls odor effectively.,Cat Litter,Target,,,,,,,,,,,1.0,,,,,
1108,Brand D,Brand D Multi-Cat Clumping Litter 25lb,Brand D Cat Litter,"Designed for households with multiple cats, offering superior odor control.",Cat Litter,Target,,,,,,,4.0,,,,4.0,,,,,
1109,Brand E,Brand E Scented Cat Litter 18lb,Brand E Cat Litter,Scented cat litter that keeps your home smelling fresh.,Cat Litter,Target,,,,,,,,,,,5.0,,,,,
1110,Brand F,Brand F Dust-Free Cat Litter 20lb,Brand F Cat Litter,Dust-free formula to keep your home clean and your cat healthy.,Cat Litter,Target,,,,,,,6.0,,,,6.0,,,,,
1111,Brand G,Brand G Odor Control Cat Litter 22lb,Brand G Cat Litter,Advanced odor control technology for a fresher home.,Cat Litter,Target,,,,,,,7.0,,,,7.0,,,,,
1112,Brand J,Brand J Unscented Cat Litter 24lb,Brand J Cat Litter,Unscented formula for sensitive cats and owners.,Cat Litter,Target,,,,,,,,,,,10.0,,,,,
1113,Tidy Cats,Tidy Cats Clumping Cat Litter,Tidy Cats Clumping,High-quality clumping litter for effective odor control and easy scooping.,Cat Litter,Target,1.0,,,,,,,,5.0,5.0,,5.0,,,,
1114,Fresh Step,Fresh Step Cat Litter,Fresh Step,Known for odor-controlling properties and easy cleaning.,Cat Litter,Target,,,,,,,,,,,,,,,,
1115,PetKit,PetKit Cat Litter,PetKit,"Varies by product type, often emphasizes convenience and affordability.",Cat Litter,Target,,,,,,,,,,,,,,,,
1116,Fresh Step,Fresh Step Extreme Odor Control Cat Litter,Fresh Step Extreme Odor Control,A litter designed to provide extreme odor control for cat owners.,Cat Litter,Target,,4.0,,,,,,,,,,,,,,
1117,Purina,Purina Tidy Cats Lightweight Cat Litter,Purina Tidy Cats Lightweight,A lightweight version of Tidy Cats litter for easier handling.,Cat Litter,Target,,9.0,,,,,,,,,,,,,,
1118,Fresh Step,"Fresh Step Advanced Clumping Cat Litter, Scented, 18 lbs",Fresh Step Advanced Clumping,Fresh Step Advanced Clumping Cat Litter provides exceptional odor control and clumping power to keep your home smelling fresh.,Cat Litter,Walmart,1.0,,,,,,,,,,,,,,,
1119,Tidy Cats,"Tidy Cats Clumping Cat Litter, Glade Clear Springs, 20 lbs",Tidy Cats Clumping with Glade,Tidy Cats Clumping Cat Litter with Glade provides effective odor control and clumping action for easy cleanup.,Cat Litter,Walmart,2.0,,,,,,,,,,,,,,,
1120,Arm & Hammer,"Arm & Hammer Clump & Seal Cat Litter, Fresh Scent, 19 lbs",Arm & Hammer Clump & Seal,Arm & Hammer Clump & Seal provides a 7-day odor-free home with its powerful clumping and sealing properties.,Cat Litter,Walmart,3.0,,,,,,,,,,,,,,,
1121,Dr. Elsey's,"Dr. Elsey's Ultra Cat Litter, 40 lbs",Dr. Elsey's Ultra,"Dr. Elsey's Ultra Cat Litter offers superior odor control and hard clumping, ideal for multiple cat households.",Cat Litter,Walmart,4.0,,,,,,,,,,,,,,,
1122,Arm & Hammer,"Arm & Hammer Super Scoop Cat Litter, Unscented, 20 lbs",Arm & Hammer Super Scoop,Arm & Hammer Super Scoop is an unscented litter with excellent clumping action and odor control.,Cat Litter,Walmart,6.0,,,,,,,,,,,,,,,
1123,Purina,"Purina Tidy Cats Non-Clumping Cat Litter, 24/7 Performance, 20 lbs",Purina Tidy Cats Non-Clumping,Purina Tidy Cats Non-Clumping Litter provides continuous odor control for a fresh-smelling home.,Cat Litter,Walmart,8.0,,,,,,,,,,,,,,,
1124,Ever Clean,"Ever Clean Extra Strength Cat Litter, Unscented, 25 lbs",Ever Clean Extra Strength,Ever Clean Extra Strength offers superior clumping action and odor control for maximum freshness.,Cat Litter,Walmart,9.0,,,,,7.0,,,10.0,10.0,,,,,,
1125,Fresh Step,Fresh Step Multi-Cat Clumping Cat Litter,Multi-Cat Litter,Designed for multi-cat households with odor control and clumping action.,Cat Litter,Walmart,,,,,,,3.0,,,,3.0,,,,,
1126,Cat's Pride,Cat's Pride Unscented Complete Care Cat Litter,Unscented Complete Care,Unscented cat litter that provides complete odor control.,Cat Litter,Walmart,,,,,,,,,,,8.0,,,,,
1127,Arm & Hammer,Arm & Hammer Clump & Seal Platinum Multi-Cat Litter,Arm & Hammer Clump & Seal,A clumping litter offering superior odor control and easy scooping.,Cat Litter,Walmart,,3.0,1.0,2.0,,,,,,,,1.0,,,,
1128,Scoop Away,Scoop Away Multi-Cat Litter,Scoop Away Multi-Cat,A value option with strong clumping and odor control for multiple cats.,Cat Litter,Walmart,,4.0,2.0,,,,,,,,,,,,,
1129,Special Kitty,Special Kitty Odor Control Cat Litter,Special Kitty Odor Control,An affordable option with good odor control and strong clumping.,Cat Litter,Walmart,,1.0,3.0,,,,,,,,,,,,,
1130,Pretty Litter,Pretty Litter Color-Changing Cat Litter,Pretty Litter Color-Changing,A unique litter that changes color to indicate urinary health issues.,Cat Litter,Walmart,,8.0,7.0,,,,,,,,,,,,,
1131,Ökocat,Ökocat Paper Pellet Cat Litter,Ökocat Paper Pellet,"A biodegradable, absorbent litter made from recycled paper.",Cat Litter,Walmart,,,10.0,,,,,,,,,,,,,
1132,Swheat Scoop,Swheat Scoop Natural Cat Litter,Swheat Scoop Natural,"Biodegradable, non-toxic litter made from whole kernel corn, ideal for eco-friendly households.",Cat Litter,Walmart,,10.0,,,,,,,3.0,3.0,,,,,,
1133,Tidy Cats,Tidy Cats Free & Clean Unscented Clumping Multi-Cat Litter,Tidy Cats Free & Clean,Clumping clay litter with activated charcoal for superior odor control,Cat Litter,Walmart,,,,1.0,,,,,,,,,,,,
1134,Special Kitty,"Special Kitty Scooping Cat Litter, Unscented",Special Kitty Scooping,Walmart's store brand clumping clay litter at an affordable price,Cat Litter,Walmart,,,,7.0,,,,,,,,6.0,,,,
1135,Purina Yesterday's News,Purina Yesterday's News Unscented Paper Cat Litter,Yesterday's News Unscented,Non-clumping paper pellet litter made from recycled materials,Cat Litter,Walmart,,,,9.0,,,,,,,,,,,,
1136,Frisco,Frisco All Natural Unscented Clumping Grass Cat Litter,Frisco All Natural Grass,Biodegradable grass seed litter that's lightweight and low-dust,Cat Litter,Walmart,,,,10.0,,,,,,,,8.0,,,,
1137,Kitty Diggins,Kitty Diggins Fragrance-Free Cat Litter,Kitty Diggins Fragrance-Free,"An affordable option with fragrance-free attributes, though it may lack in performance compared to premium brands.",Cat Litter,Walmart,,8.0,7.0,,,,,,,,,,,,,
1138,Tidy Cats,Tidy Cats 24/7 Performance Cat Litter,Tidy Cats 24/7 Performance,"Offers consistent odor control and clumping ability, though may produce some dust.",Cat Litter,Walmart,,3.0,8.0,,,,,,6.0,6.0,,,,,,
1139,Next Gen Pet,Next Gen Pet Fresh Cat Litter,Next Gen Pet Fresh,"A premium, eco-friendly choice offering strong odor control and minimal dust.",Cat Litter,Walmart,,,10.0,,,,,,,,,,,,,
1140,Purina Tidy Cats,Purina Tidy Cats 24/7 Performance Clumping Cat Litter,Tidy Cats 24/7 Performance,Clay-based clumping litter designed for continuous odor control,Cat Litter,Walmart,,,,6.0,,,,,8.0,8.0,,3.0,5.0,5.0,,
1141,Special Kitty,Special Kitty Multi-Cat Clumping Cat Litter,Special Kitty Multi-Cat,Walmart's own brand of affordable clay-based clumping litter for multiple cats,Cat Litter,Walmart,,,,8.0,,,,,,,,10.0,,,,
1142,So Phresh,So Phresh Scoopable Odor-Lock Clumping Micro Crystal Cat Litter,So Phresh Odor-Lock,Micro crystal clumping litter with advanced odor control technology,Cat Litter,Walmart,,,,10.0,,,,,,,,,,,,
1143,Fresh Step,Fresh Step Advanced Simply Unscented Clumping Cat Litter,Fresh Step Unscented,A clumping cat litter that eliminates odors without added fragrances.,Cat Litter,Walmart,1.0,,,,,,,,7.0,7.0,,,,,,
1144,Tidy Cats,Tidy Cats Clumping Cat Litter for Multiple Cats,Tidy Cats Clumping,A powerful clumping formula designed for multi-cat households.,Cat Litter,Walmart,2.0,,,,,,,,,,,,,,,
1145,Cats Pride,Cats Pride Fresh and Light Ultimate Care Scented Multi-Cat Litter,Cats Pride Fresh and Light,"A lightweight, scented cat litter designed for multi-cat homes.",Cat Litter,Walmart,7.0,,,,,,,,,,,,,,,
1146,Brand E,"Brand E Odor Control Cat Litter, 30 lb",Brand E Cat Litter,Provides long-lasting odor control for a fresh-smelling home.,Cat Litter,Walmart,,,,,,,5.0,,,,5.0,,,,,
1147,Brand F,"Brand F Dust-Free Cat Litter, 18 lb",Brand F Cat Litter,A dust-free formula to keep your home and air clean.,Cat Litter,Walmart,,,,,,,,,,,6.0,,,,,
1148,Brand G,"Brand G Scented Clumping Cat Litter, 22 lb",Brand G Cat Litter,Scented cat litter that keeps your home smelling fresh.,Cat Litter,Walmart,,,,,,,,,,,7.0,,,,,
1149,Brand I,"Brand I All-Natural Cat Litter, 20 lb",Brand I Cat Litter,All-natural ingredients for a safe and healthy environment.,Cat Litter,Walmart,,,,,,,9.0,,,,9.0,,,,,
1150,Brand J,"Brand J Extra Strength Cat Litter, 28 lb",Brand J Cat Litter,Extra strength formula for powerful odor control.,Cat Litter,Walmart,,,,,,,,,,,10.0,,,,,
1151,Nature's Miracle,Nature's Miracle Advanced Odor-Control Unscented Clumping Cat Litter,Advanced Odor Control Litter,A clumping litter with advanced odor control features for a cleaner environment.,Cat Litter,Walmart,,,10.0,,,,,,,,,,,,,
1152,Special Kitty,"Special Kitty Scoopable Tight Clumping Cat Litter, Fragrance Free",Special Kitty Fragrance-Free Clumping Litter,"A cost-effective, fragrance-free clumping litter suitable for multi-cat households.",Cat Litter,Walmart,,1.0,,,,,,,,,,,,,,
1153,Special Kitty,"Special Kitty Lightweight & Scoopable Clumping Cat Litter, Fresh Scent",Special Kitty Lightweight Clumping Litter,"A lightweight, clumping litter with a fresh scent, ideal for easy handling.",Cat Litter,Walmart,,2.0,,,,,,,,,,,,,,
1154,Special Kitty,"Special Kitty Natural Clay Cat Litter, Unscented",Special Kitty Natural Clay Litter,"A non-clumping, natural clay litter without added fragrances.",Cat Litter,Walmart,,6.0,,,,,,,,,,,,,,
1155,Arm & Hammer,Arm & Hammer Cloud Control Platinum Multi-Cat Litter,Arm & Hammer Cloud Control Platinum,"A dust-free, clumping litter designed for minimal tracking and odor control.",Cat Litter,Walmart,,7.0,,,,,,,,,,,,,,
1156,Special Kitty,Special Kitty Scooping Cat Litter,Scooping Cat Litter,Walmart's store brand clumping litter for affordable odor control,Cat Litter,Walmart,,,,,,,,,,,,7.0,,,,
1157,Purina,Purina Tidy Cats Clumping Cat Litter,Tidy Cats Clumping Litter,Purina Tidy Cats clumping cat litter offers great odor control and clumping action.,Cat Litter,Metro,1.0,,,,,1.0,1.0,,2.0,2.0,,,,,,
1158,Cats Pride,Cats Pride Fresh & Light Clumping Cat Litter,Fresh & Light Litter,Cats Pride Fresh & Light offers a lightweight and effective clumping solution for odor control.,Cat Litter,Metro,6.0,,,,,10.0,,,,,,,,,,
1159,Feline Pine,Feline Pine Original Non-Clumping Cat Litter,Original Feline Pine,"Feline Pine Original offers a natural, non-clumping solution with pine-based odor control.",Cat Litter,Metro,8.0,,,,,,,,,,,,,,,
1160,Nature's Miracle,Nature's Miracle Intense Defense Odor Control Litter,Intense Defense Litter,Nature's Miracle Intense Defense provides strong odor control with its clumping formula.,Cat Litter,Metro,9.0,,,,,,,,5.0,5.0,,,,,,
1161,Paco & Pepper,Paco & Pepper Olive Pit Cat Litter,Paco & Pepper Olive,"A dust-free, eco-friendly litter made from olive pits.",Cat Litter,Metro,,9.0,9.0,,,,,,,,,,,,,
1162,World's Best,World's Best Cat Litter Unscented Green,World's Best Unscented,"An unscented, natural litter known for its eco-friendly qualities.",Cat Litter,Metro,,,10.0,,,,,,,,,,,,,
1163,Pet Metro,Pet Metro Bentonite Cat Litter - Lemon - 10L,Pet Metro Bentonite Litter,Clumping cat litter made from natural bentonite clay with lemon scent for odor control,Cat Litter,Metro,,,,4.0,,,,,,,,,,,,
1164,Pet Metro,Pet Metro Bentonite Cat Litter - Apple - 10L,Pet Metro Apple Litter,Apple-scented bentonite clay litter for effective odor absorption,Cat Litter,Metro,,,,2.0,,,,,,,,,,,,
1165,Pet Metro,Pet Metro Bentonite Cat Litter - Coffee - 10L,Pet Metro Coffee Litter,Coffee-scented clumping bentonite litter for multi-cat households,Cat Litter,Metro,,,,3.0,,,,,,,,,,,,
1166,Selection,Selection Scented Clumping Cat Litter - 7 kg,Selection Clumping Litter,Perfumed natural clay litter for powerful and instant odor control,Cat Litter,Metro,,,,5.0,,,,,,,,,,,,
1167,Scoop Away,Scoop Away Multi-Cat Clumping Litter,Scoop Away Multi-Cat,Scented clay litter in convenient individual bags for multiple cats,Cat Litter,Metro,,,,10.0,,2.0,,,,,,6.0,,,,
1168,Arm & Hammer,Arm & Hammer Odor Sealing Multi-Cat Clump & Seal Litter,Clump & Seal Litter,Multi-cat clumping litter with odor sealing technology,Cat Litter,Metro,,,,1.0,,,,,,,,1.0,,,,
1169,Purina Tidy Cats,Purina Tidy Cats Clumping Cat Litter 4-in-1 Strength,Tidy Cats 4-in-1 Strength,Clumping litter with 4-in-1 odor fighting strength,Cat Litter,Metro,,,,3.0,,,,,,,,2.0,,,,
1170,Arm & Hammer,ARM & HAMMER Slide Easy Clean-Up Multi-Cat Clumping Cat Litter,Slide Easy Clean-Up Litter,Multi-cat clumping litter for easy clean-up,Cat Litter,Metro,,,,4.0,,,,,,,,4.0,,,,
1171,Purina Tidy Cats,Purina Tidy Cats LightWeight Clumping Cat Litter Odor Control 24/7 Performance,Tidy Cats LightWeight 24/7 Performance,Lightweight clumping litter with 24/7 odor control,Cat Litter,Metro,,,,5.0,,,,,,,,5.0,,,,
1172,Arm & Hammer,ARM & HAMMER Clean Burst Multi-Cat Clumping Cat Litter,Clean Burst Clumping Litter,Multi-cat clumping litter with clean burst scent,Cat Litter,Metro,,,,6.0,,,,,,,,6.0,,,,
1173,Purina Tidy Cats,Purina® Tidy Cat® Non Clumping Clay Litter,Tidy Cat Non-Clumping Litter,Non-clumping clay litter for odor absorption,Cat Litter,Metro,,,,,,,,,,,,7.0,,,,
1174,Arm & Hammer,ARM & HAMMER Double Duty Clumping Cat Litter,Double Duty Clumping Litter,Clumping litter with double duty odor control,Cat Litter,Metro,,,,7.0,,,,,,,,7.0,,,,
1175,Purina Tidy Cats,Purina Tidy Cats LightWeight Clumping Cat Litter Glade Clear Springs,Tidy Cats LightWeight Glade,Lightweight clumping litter with Glade Clear Springs scent,Cat Litter,Metro,,,,8.0,,,,,,,,8.0,,,,
1176,Arm & Hammer,ARM & HAMMER Clump & Seal Ultra Odor Blasters Multi-Cat Clumping Cat Litter,Clump & Seal Ultra Odor Blasters,Multi-cat clumping litter with ultra odor control,Cat Litter,Metro,,,,,,,,,,,,10.0,,,,
1177,World's Best,World's Best Cat Litter Multiple Cat Formula,World's Best,A natural cat litter made from whole-kernel corn that offers outstanding odor control.,Cat Litter,Metro,5.0,,,,,,4.0,,,,,,,,,
1178,Naturally Fresh,Naturally Fresh Walnut-Based Cat Litter,Naturally Fresh,An eco-friendly cat litter made from walnut shells that provides excellent odor absorption.,Cat Litter,Metro,6.0,,,,,,,,,,,,,,,
1179,Tidy Cats,Tidy Cats Free & Clean Unscented Cat Litter,Free & Clean,An unscented litter that provides powerful odor control without fragrances.,Cat Litter,Metro,3.0,,,,,4.0,4.0,,3.0,3.0,4.0,,,,,
1180,Vitakraft,Vitakraft Magic Clean Cat Litter,Vitakraft Magic Clean,A non-clumping litter that is known for being easy to clean and affordable.,Cat Litter,Metro,,,6.0,,,,,,,,,,,,,
1181,Soy-based,Tofu-Based Biodegradable Cat Litter,Tofu-Based Litter,"A natural, biodegradable option made from tofu, suitable for eco-friendly needs.",Cat Litter,Metro,,,7.0,,,,,,,,,,,,,
1182,Pine Pellets,Pine Pellets Natural Cat Litter,Pine Pellets Litter,"A natural, biodegradable option made from pine, offering good odor control.",Cat Litter,Metro,,,8.0,,,,,,,,,,,,,
1183,Sawdust,Sawdust Natural Cat Litter,Sawdust Litter,"A natural, inexpensive option that can be biodegradable but may not control odors well.",Cat Litter,Metro,,,9.0,,,,,,,,,,,,,
1184,Corn/Grain,Corn/Grain-Based Biodegradable Cat Litter,Corn/Grain Litter,"A biodegradable option made from natural grains, offering moderate odor control.",Cat Litter,Metro,,,10.0,,,,,,,,,,,,,
1185,Fresh Step,Fresh Step Multi-Cat Clumping Cat Litter with Febreze,Fresh Step Multi-Cat with Febreze,Clumping litter with Febreze freshness for multi-cat households,Cat Litter,Metro,4.0,,,9.0,,1.0,,,,,,,,,,
1186,Scoop Away,Scoop Away Multi-Cat Complete Performance Scented Clumping Cat Litter,Scoop Away Multi-Cat Complete Performance,Scented clumping litter for complete odor control in multi-cat homes,Cat Litter,Metro,,,,10.0,,,,,,,,,,,,
1187,World's Best,World's Best Cat Litter Original Unscented Clumping,Original Unscented,Eco-friendly clumping litter made from whole-kernel corn for natural odor control,Cat Litter,Metro,,,,,,,,,,,,4.0,,,,
1188,BrandA,BrandA Premium Clumping Cat Litter,BrandA Clumping,"A highly absorbent, clumping cat litter with minimal dust.",Cat Litter,Metro,1.0,,,,,,,,,,,,,,,
1189,BrandB,BrandB Natural Cat Litter,BrandB Natural,Eco-friendly cat litter made from natural materials.,Cat Litter,Metro,2.0,,,,,2.0,,,,,,,,,,
1190,BrandC,BrandC Odor Control Cat Litter,BrandC Odor Control,Cat litter designed to control odors effectively.,Cat Litter,Metro,3.0,,,,,,,,,,,,,,,
1191,BrandD,BrandD Lightweight Cat Litter,BrandD Lightweight,A lightweight option for easy handling.,Cat Litter,Metro,4.0,,,,,,,,,,,,,,,
1192,BrandE,BrandE Silica Gel Cat Litter,BrandE Silica Gel,Highly absorbent silica gel cat litter.,Cat Litter,Metro,5.0,,,,,,,,,,,,,,,
1193,BrandF,BrandF Multi-Cat Strength Cat Litter,BrandF Multi-Cat,Formulated for households with multiple cats.,Cat Litter,Metro,6.0,,,,,,,,,,,,,,,
1194,BrandG,BrandG Unscented Cat Litter,BrandG Unscented,Unscented litter for sensitive cats.,Cat Litter,Metro,7.0,,,,,,,,,,,,,,,
1195,BrandH,BrandH Dust-Free Cat Litter,BrandH Dust-Free,Reduces dust for cleaner air and surfaces.,Cat Litter,Metro,8.0,,,,,,,,,,,,,,,
1196,BrandI,BrandI Long-Lasting Cat Litter,BrandI Long-Lasting,Designed to last longer between changes.,Cat Litter,Metro,9.0,,,,,,,,,,,,,,,
1197,BrandJ,BrandJ Budget-Friendly Cat Litter,BrandJ Budget,Affordable choice without compromising quality.,Cat Litter,Metro,10.0,,,,,,,,,,,,,,,
1198,Brand F,Brand F Multi-Cat Litter,Brand F Cat Litter,Designed for households with multiple cats.,Cat Litter,Metro,,,,,,,,,,,6.0,,,,,
1199,Brand J,Brand J Budget-Friendly Cat Litter,Brand J Cat Litter,Affordable cat litter without compromising on quality.,Cat Litter,Metro,,,,,,,,,,,10.0,,,,,
1200,Ever Clean,Ever Clean Cat Litter,Ever Clean Litter,A clumping litter with activated charcoal for effective odor control.,Cat Litter,Metro,,,6.0,,,,,,,,,,,,,
1201,Dr. Elsey's,Dr. Elsey's Ultra Cat Litter,Dr. Elsey's Ultra,"A clumping litter made from bentonite clay, known for its affordability and effectiveness.",Cat Litter,Metro,,,7.0,,,,,,,,,,,,,
1202,Scoop Away,Scoop Away Multi-Cat Formula Clumping Cat Litter,Scoop Away Multi-Cat,Strong clumping clay litter for multiple cats with good odor control,Cat Litter,Metro,,,,3.0,,,,,,,,,,,,
1203,Everclean,Everclean Extra Strength Unscented Premium Clumping Clay Cat Litter,Everclean Extra Strength,Premium clay litter with activated charcoal for maximum odor control,Cat Litter,Metro,,,,8.0,,,,,,,,,,,,
1204,Pet Metro,Pet Metro Bentonite Cat Litter,Pet Metro Bentonite,Bentonite clay litter available in various scents for odor control,Cat Litter,Metro,,,,9.0,,,,,,,,7.0,,,,
1205,Fresh Step,Fresh Step Ultra Unscented Cat Litter,Fresh Step Ultra,Unscented clumping clay litter with advanced odor control technology,Cat Litter,Metro,,,,,,,,,,,,3.0,,,,
1206,Selection,Selection Unscented Clumping Cat Litter,Selection Unscented,Unscented clumping litter that controls odor and is 99.9% dust-free,Cat Litter,Metro,,,,,,,,,,,,8.0,,,,
1207,Luvsome,Luvsome Clumping Cat Litter,Luvsome Clumping,Affordable clumping litter option for odor control,Cat Litter,Metro,,,,,,,,,,,,9.0,,,,
1208,Purina Tidy Cats,Purina Tidy Cats LightWeight Clumping Cat Litter,Tidy Cats LightWeight,Lightweight clumping litter that is easier to lift and pour,Cat Litter,Metro,,,,,,,,,,,,10.0,6.0,6.0,,
1209,King Arthur,King Arthur Bread Flour,Bread Flour,A high-protein flour ideal for baking breads with strong structure.,Baking Ingredients,Costco,,,,,,4.0,9.0,,,,,,,,,
1210,Carnation,Carnation Evaporated Milk,Evaporated Milk,A creamy and rich evaporated milk for various baking recipes.,Baking Ingredients,Costco,,,,,,7.0,,,3.0,3.0,,,,,,
1211,Nestle,Nestle Toll House Morsels,Toll House Morsels,Classic chocolate morsels for baking delicious cookies and treats.,Baking Ingredients,Costco,,,,,,10.0,,,,,,,,,,
1212,Kirkland Signature,Kirkland Signature Pure Baking Soda,Baking Soda,Versatile leavening agent and cleaning product for baking needs.,Baking Ingredients,Costco,,,,,,,,,,,,,,,,7.0
1213,Kirkland Signature,Kirkland Signature Organic Maple Syrup,Maple Syrup,Pure organic maple syrup for natural sweetness in baking.,Baking Ingredients,Costco,,,,,,,,,,,,,,,,8.0
1214,Namaste Foods,Namaste Gluten Free Classic Mixes Variety Pack,Gluten Free Baking Mixes,Assorted gluten-free baking mixes for various treats,Baking Ingredients,Costco,,,,,,,,9.0,,,,,,,,
1215,C&H,C&H Pure Cane Sugar,C&H Cane Sugar,Refined pure cane sugar that is perfect for baking and sweetening.,Baking Ingredients,Costco,,,,,,3.0,10.0,,,,,,,,,
1216,Diamond Crystal,Diamond Crystal Kosher Salt,Diamond Crystal Salt,Kosher salt that enhances the flavor of baked goods.,Baking Ingredients,Costco,,,,,,10.0,,,,,,,,,,
1217,Kirkland Signature,Kirkland Signature Grass-Fed Unsalted Butter,Kirkland Grass-Fed Butter,Richer-tasting butter due to the grass-fed diet of cows.,Baking Ingredients,Costco,,,,,,,,,,,,,,,2.0,
1218,C&H,C&H Pure Cane Light Brown Sugar,Light Brown Sugar,Moist brown sugar for adding depth to baked goods,Baking Ingredients,Costco,,,,,,,,,,,,,,,,8.0
1219,Kirkland Signature,Kirkland Signature Semi-Sweet Chocolate Chips,Semi-Sweet Chocolate Chips,High-quality chocolate chips for cookies and other treats,Baking Ingredients,Costco,,,,,,,,10.0,,,,,,,,
1220,Domino,Domino Light Brown Sugar,Domino Brown Sugar,Light brown sugar for cookies and baked goods.,Baking Ingredients,Costco,,,,,,8.0,,,,,,,,,,
1221,Nestle,Nestle Toll House Chocolate Chip Morsels,Nestle Choco Morsels,Classic chocolate chip morsels for cookies and treats.,Baking Ingredients,Costco,,,,,,10.0,,,,,,,,,,
1222,U.S. Sugar,U.S. Light Brown Sugar,Light Brown Sugar,Moist brown sugar that adds richness to baked goods.,Baking Ingredients,Costco,,,,,,,,,,,,,,,,3.0
1223,Kirkland Signature,Kirkland Signature Dry Roasted Macadamia Nuts,Macadamia Nuts,Whole macadamia nuts for adding crunch to baked goods.,Baking Ingredients,Costco,,,,,,,,,,,,,,,,10.0
1224,Santo Tomas,Santo Tomas Spanish Saffron,Santo Tomas Saffron,Premium Spanish saffron for adding unique flavor and color to your baking.,Baking Ingredients,Amazon,,,,,,10.0,,,,,,,,,,
